filename,filepath,category,description,upload_date,tags,status
prototype_amelioration.pdf,/documents/projets/prototype_amelioration.pdf,Projet,Documentation technique d'amélioration du produit,2024-10-02 10:12:08,"développement,proposition,stratégie",Supprimé
rapport_satisfaction_client.pdf,/documents/marketing/rapport_satisfaction_client.pdf,Projet,Analyse de la satisfaction des clients,2025-01-31 10:12:08,"satisfaction,innovation,cahier_des_charges,objectifs,relation_client",Actif
rapport_etude_marche.pdf,/documents/marketing/etude_marche.pdf,Projet,Étude complète du marché et des tendances,2024-10-19 10:12:08,"stratégie,objectifs,prototype",Archivé
cv_jean_dupont.pdf,/documents/rh/cv_jean_dupont.pdf,Personnel,Curriculum vitae de Jean Dupont pour le poste de développeur,2025-03-13 10:12:08,"competences,carriere,motivation",Actif
cv_marie_martin.pdf,/documents/rh/cv_marie_martin.pdf,Personnel,Curriculum vitae de Marie Martin pour le poste de designer,2024-12-23 10:12:08,"competences,carriere,integration",Archivé
fiche_poste_developpeur.docx,/documents/rh/fiche_poste_developpeur.docx,Personnel,Détails du poste de développeur,2024-11-08 10:12:08,"competences,integration,RH",Archivé
fiche_poste_designer.docx,/documents/rh/fiche_poste_designer.docx,Personnel,Détails du poste de designer,2025-03-08 10:12:08,"competences,formation,integration",Actif
rapport_evaluation_annuelle.pdf,/documents/rh/rapport_evaluation_annuelle.pdf,Personnel,Rapport d'évaluation annuel des employés,2024-12-12 10:12:08,"motivation,performance,evaluation,formation,developpement",Archivé
rapport_climat_social.pdf,/documents/rh/climat_social.pdf,Personnel,Analyse du climat social dans l'entreprise,2024-11-06 10:12:08,"competences,integration,developpement_personnel",Supprimé
guide_onboarding.pdf,/documents/rh/guide_onboarding.pdf,Personnel,Guide d'accueil et d'intégration des nouveaux employés,2025-01-25 10:12:08,"recrutement,integration,ressources_humaines",Archivé
politique_formation.pdf,/documents/rh/politique_formation.pdf,Personnel,Politique de formation et développement des compétences,2025-01-09 10:12:08,"recrutement,carriere,integration,developpement",Supprimé
